@RELATION models/extra
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE class {veryhigh,high,neutral,low,verylow}

@DATA
0.041088,0.018971,2.943666,0.100910,0.143270,0.286633,0.036472,0.020872,0.462112,0.037695,0.038439,0.337547,veryhigh
0.047930,0.019608,2.994227,0.107047,0.145349,0.350769,0.045624,0.020610,0.359631,0.040800,0.036893,0.406745,veryhigh
0.036986,0.019030,2.979188,0.119242,0.180029,0.254322,0.030799,0.019526,0.401430,0.046537,0.043394,0.297556,veryhigh
0.036200,0.021569,3.048150,0.095406,0.144334,0.212969,0.023225,0.024983,0.317178,0.030586,0.039175,0.251652,veryhigh
0.033770,0.017413,3.060160,0.093816,0.146455,0.214560,0.022522,0.019262,0.293614,0.028213,0.034761,0.228556,veryhigh
0.043423,0.011590,2.992832,0.099193,0.144981,0.252257,0.037811,0.014669,0.390347,0.040173,0.037580,0.346406,veryhigh
0.030675,0.020845,3.045760,0.090387,0.146829,0.171679,0.016925,0.021596,0.268286,0.029290,0.038250,0.178356,veryhigh
0.041088,0.018971,2.943666,0.100910,0.143270,0.286633,0.036472,0.020872,0.462112,0.037695,0.038439,0.337547,veryhigh
0.027340,0.013673,2.957402,0.090439,0.151404,0.134091,0.023536,0.015747,0.402038,0.032684,0.039920,0.227766,veryhigh
0.036757,0.011497,2.850278,0.086004,0.127471,0.214229,0.029620,0.010852,0.341126,0.034684,0.043137,0.278070,veryhigh
0.020702,0.006636,2.956320,0.070742,0.137144,0.052761,0.005413,0.009661,0.399346,0.023509,0.040793,0.041394,veryhigh
0.049807,0.005127,3.021406,0.103173,0.133871,0.396867,0.032828,0.006244,0.324686,0.029853,0.031568,0.332763,veryhigh
0.043665,0.003454,2.931731,0.109119,0.149522,0.313574,0.031074,0.003744,0.386834,0.033435,0.037866,0.322775,veryhigh
0.040510,0.007565,3.018183,0.092974,0.137152,0.229236,0.029054,0.006723,0.379416,0.030610,0.037771,0.279787,veryhigh
0.048831,0.013002,2.853741,0.099446,0.136710,0.361602,0.038517,0.014792,0.385083,0.035313,0.040164,0.345641,high
0.030442,0.013778,2.857685,0.099052,0.160484,0.216119,0.023890,0.012880,0.392179,0.037933,0.037900,0.260715,high
0.137428,0.005870,2.970476,0.223915,0.211804,0.956480,0.105891,0.007948,0.332191,0.099219,0.035731,0.694712,high
0.027016,0.016619,2.995728,0.080741,0.143580,0.070205,0.015215,0.018824,0.408479,0.029536,0.045039,0.128379,high
